category_name,keyword,priority,is_archived,source
ATM Withdrawals,WITHDRWL,100,false,tag-rule
Base Salary,PAYROLL,10,false,system
Base Salary,DIRECT DEPOSIT,20,false,system
Base Salary,SALARY,30,false,system
Base Salary,DEPOSIT,40,false,system
Base Salary,E2E-AUTO-PRIO-TEST,100,false,manual
Base Salary,E2E-AUTO-PRIO-1785697369161,110,false,manual
Base Salary,E2E-AUTO-PRIO-1785697384523,120,false,manual
Base Salary,E2E-AUTO-PRIO-1785716174087,130,false,manual
Base Salary,E2E-AUTO-PRIO-1785716224851,140,false,manual
Base Salary,E2E-AUTO-PRIO-1785716388809,150,false,manual
Base Salary,E2E-AUTO-PRIO-1785717049960,160,false,manual
Base Salary,E2E-AUTO-PRIO-1785717496548,170,false,manual
Base Salary,E2E-AUTO-PRIO-1785717818635,180,false,manual
Base Salary,E2E-AUTO-PRIO-1786408596542,190,false,manual
Base Salary,E2E-AUTO-PRIO-1786408644955,200,false,manual
Base Salary,E2E-AUTO-PRIO-1786411026083,210,false,manual
Base Salary,E2E-AUTO-PRIO-1786416841351,220,false,manual
Base Salary,E2E-AUTO-PRIO-1786417161067,230,false,manual
Base Salary,E2E-AUTO-PRIO-1786417422174,240,false,manual
Base Salary,E2E-AUTO-PRIO-1786417730071,250,false,manual
Base Salary,E2E-AUTO-PRIO-1786418504326,260,false,manual
Bills & Utilities,VERIZON,2180,false,system
Bills & Utilities,AT&T,2190,false,system
Bills & Utilities,AT&T ,2200,false,system
Bills & Utilities,AT&T SERVICES,2210,false,system
Bills & Utilities,T-MOBILE,2220,false,system
Bills & Utilities,TMOBILE,2230,false,system
Bills & Utilities,SPRINT,2240,false,system
Bills & Utilities,COMCAST,2250,false,system
Bills & Utilities,XFINITY,2260,false,system
Bills & Utilities,SPECTRUM,2270,false,system
Bills & Utilities,COX COMM,2280,false,system
Bills & Utilities,ELECTRIC,2290,false,system
Bills & Utilities,GAS COMPANY,2300,false,system
Bills & Utilities,WATER,2310,false,system
Bills & Utilities,SEWER,2320,false,system
Bills & Utilities,WASTE MANAGEMENT,2330,false,system
Bills & Utilities,WASTE MGMT,2340,false,system
Bills & Utilities,PG&E,2350,false,system
Bills & Utilities,CON EDISON,2360,false,system
Bills & Utilities,DUKE ENERGY,2370,false,system
Bills & Utilities,NATIONAL GRID,2380,false,system
Bills & Utilities,SOUTHERN CALIFORNIA EDISON,2390,false,system
Bills & Utilities,RENT,2400,false,system
Bills & Utilities,LEASE PAYMENT,2410,false,system
Bills & Utilities,MORTGAGE,2420,false,system
Bills & Utilities,PROPERTY MGMT,2430,false,system
Bills & Utilities,INTERNET,2440,false,system
Bills & Utilities,PHONE BILL,2450,false,system
Bills & Utilities,WIFI,2460,false,system
Bills & Utilities,ALLSTATE,2470,false,system
Bills & Utilities,GEICO,2480,false,system
Bills & Utilities,STATE FARM,2490,false,system
Bills & Utilities,PROGRESSIVE,2500,false,system
Bills & Utilities,INSURANCE,2510,false,system
Bills & Utilities,PUGET SOUND ENER DES:BILLPAY,2520,false,tag-rule
Bills & Utilities,EDMONDS SD,2530,false,tag-rule
Bills & Utilities,RING BASIC PLAN HAWTHORNE CA NULL XXXXXXXXXXXX7280,2540,false,llm
Bills & Utilities,AVA ROCKMEADOW LEASEAPP,2550,false,tag-rule
Brokerage Buys,YOU BOUGHT,100,false,system
Brokerage Buys,YOU SOLD,110,false,system
Brokerage Buys,REINVESTMENT,120,false,system
Brokerage Buys,ROBINHOOD DEBITS,130,false,tag-rule
Capital Gains,CAPITAL GAIN,130,false,system
Credit Card Payments,ONLINE PAYMENT,140,false,system
Credit Card Payments,MOBILE PAYMENT,150,false,system
Credit Card Payments,AUTOMATIC PAYMENT,160,false,system
Credit Card Payments,ELECTRONIC PAYMENT,170,false,system
Credit Card Payments,PAYMENT THANK YOU,180,false,system
Credit Card Payments,AUTOPAY PAYMENT,190,false,system
Credit Card Payments,SCHEDULED PAYMENT,200,false,system
Credit Card Payments,CHASE CREDIT CRD DES:EPAY,210,false,tag-rule
Education,TUITION,3190,false,system
Education,UNIVERSITY,3200,false,system
Education,COLLEGE,3210,false,system
Education,SCHOOL,3220,false,system
Education,UDEMY,3230,false,system
Education,COURSERA,3240,false,system
Education,EDX,3250,false,system
Education,TEXTBOOK,3260,false,system
Education,BOOKSTORE,3270,false,system
Education,KHAN ACADEMY,3280,false,system
Education,SKILLSHARE,3290,false,system
Education,MASTERCLASS,3300,false,system
Education,STUDENT LOAN,3310,false,system
Education,FAFSA,3320,false,system
Education,MYPERFECTRESUME.COM,3330,false,tag-rule
Entertainment,NETFLIX,1830,false,system
Entertainment,HULU,1840,false,system
Entertainment,DISNEY+,1850,false,system
Entertainment,DISNEY PLUS,1860,false,system
Entertainment,SPOTIFY,1870,false,system
Entertainment,AMAZON PRIME,1880,false,system
Entertainment,PRIME VIDEO,1890,false,system
Entertainment,HBO MAX,1900,true,system
Entertainment,HBOMAX,1910,true,system
Entertainment,PARAMOUNT+,1920,false,system
Entertainment,PARAMOUNT PLUS,1930,false,system
